ID_CIDADE;NOME_CIDADE;UF;POPULACAO_TOTAL;PERC_POPULACAO_URBANA;PERC_POPULACAO_RURAL;PERC_POPULACAO_MASCULINA;PERC_POPULACAO_FEMININA;QTD_ANALFABETO_MAIS_15ANOS;TAXA_ANALFABETO_MAIS_15;QTD_DOMICILIOS;QTD_DOMICILIOS_RESP_HOMEM;QTD_DOMICILIOS_RESP_MULHER;PERC_DOMICILIOS_SANEAMENTO_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_INADEQUADO;MEDIA_REND_DOMICILIAR_PERCAPITA_NOM;MEDIA_REND_NOMINAL_HOMENS;MEDIA_REND_NOMINAL_MULHERES;MEDIANA_REND_NOMINAL_HOMENS;MEDIANA_REND_NOMINAL_MULHERES
4315701;Rio Pardo;RS;37591;68,1;31,9;48,7;51,3;2462;8,3;12745;7639;5143;61,1;38,7;0,2;525,05;1035,22;798,02;600;510
4315750;Riozinho;RS;4330;63,5;36,5;50,9;49,1;283;8,4;1448;1017;432;30,6;68,8;0,6;531,09;851,2;697,62;600;540
4315800;Roca Sales;RS;10284;64,2;35,8;49,5;50,5;268;3,2;3556;1994;1573;73,9;26;0;702,95;1073,09;802,7;750;600
4315909;Rodeio Bonito;RS;5743;75;25;49,6;50,4;363;7,9;2011;1544;471;20,2;79,6;0,2;680,35;1142,61;790,28;700;510
4315958;Rolador;RS;2546;23,9;76,1;51,8;48,2;161;7,8;871;617;256;21,5;78,4;0,1;429,96;771,9;607,08;510;510
4316006;Rolante;RS;19485;78,6;21,4;50,1;49,9;1014;6,6;6696;4424;2280;42,7;57,1;0,2;594,09;932,94;742,9;600;554,5
4316105;Ronda Alta;RS;10221;67,2;32,8;49;51;578;7,2;3048;2028;1040;35,3;64,4;0,3;635,64;1149,1;814,61;650;510
4316204;Rondinha;RS;5518;42;58;49,3;50,7;195;4,3;1670;1402;270;35,1;64,9;0;789,66;1567,95;781,79;1000;510
4316303;Roque Gonzales;RS;7203;42,9;57,1;50,3;49,7;411;7,1;2383;1700;698;18,3;81,5;0,3;521,07;979,51;656,04;510;510
4316402;Rosário do Sul;RS;39707;88;12;48,6;51,4;2401;7,7;13158;8256;4925;59,5;40,3;0,2;559,21;1116,33;771,31;600;510
4316428;Sagrada Família;RS;2595;30,3;69,7;51,6;48,4;267;13;853;590;264;9,8;89,8;0,4;391,04;733,9;583,06;510;510
4316436;Saldanha Marinho;RS;2869;67,2;32,8;48,4;51,6;126;5,2;1039;530;510;6,6;93,4;0;799,59;1303,58;979,93;845;510
4316451;Salto do Jacuí;RS;11880;85,9;14,1;49,5;50,5;768;8,6;3853;2446;1436;36,5;63,3;0,2;560,62;1219,27;764,43;700;510
4316477;Salvador das Missões;RS;2669;41;59;51,6;48,4;42;1,9;892;712;183;39,6;60,4;0;623,54;955,89;746,62;700;510
4316501;Salvador do Sul;RS;6747;59,4;40,6;50,6;49,4;127;2,3;2186;1347;843;78;21,9;0;755,51;1161,98;856,96;850;650
4316600;Sananduva;RS;15373;69,6;30,4;49,5;50,5;702;5,5;5330;3897;1439;60,2;39,7;0,1;750,48;1316,76;817,43;900;520
4316709;Santa Bárbara do Sul;RS;8829;79,1;20,9;49,2;50,8;476;6,7;3059;2042;1023;24,6;75,4;0;641,73;1350,74;780,25;800;510
4316733;Santa Cecília do Sul;RS;1655;29;71;50,7;49,3;69;5,1;532;453;80;9,2;90;0,8;785,83;1641,82;886,29;1000;510
4316758;Santa Clara do Sul;RS;5697;50,1;49,9;49,9;50,1;184;3,9;1918;810;1110;51,1;48,5;0,3;757,26;1133,06;827,18;800;600
4316808;Santa Cruz do Sul;RS;118374;88,9;11,1;48,1;51,9;3226;3,4;40540;25076;15498;86,3;13,6;0,1;874,08;1555,75;1055,44;900;670
4316907;Santa Maria;RS;261031;95,1;4,9;47,4;52,6;6651;3,2;87450;48748;38783;79,1;20,9;0;938,61;1799,2;1293,97;1000;700
4316956;Santa Maria do Herval;RS;6053;72,1;27,9;51,2;48,8;97;1,9;2033;1468;568;33,6;66,3;0,1;621,1;900,22;702,96;650;560
4316972;Santa Margarida do Sul;RS;2352;23,5;76,5;54,1;45,9;226;12,1;761;655;153;18,5;81,2;0,3;557,85;1091,75;650;580;510
4317004;Santana da Boa Vista;RS;8242;45,2;54,8;50,6;49,4;927;14;2953;2099;858;33,1;62,9;4,1;362,02;692,45;560,61;510;510
4317103;Sant'Ana do Livramento;RS;82464;90,2;9,8;47,7;52,3;2687;4,2;27381;15522;11886;75,1;24,8;0,1;586,34;1161,02;856,62;600;510
4317202;Santa Rosa;RS;68587;88;12;48,8;51,2;2063;3,8;23356;14733;8651;37,9;62,1;0;757,99;1387,91;937,87;900;600
4317251;Santa Tereza;RS;1720;36,5;63,5;51,7;48,3;52;3,5;568;466;102;75,5;24,5;0;791,85;1114,99;899,27;840;742
4317301;Santa Vitória do Palmar;RS;30990;86,8;13,2;49,9;50,1;1556;6,5;11230;6224;5022;72,8;27,1;0,1;550,96;1102,66;811,49;600;510
4317400;Santiago;RS;49071;91,2;8,8;48;52;1826;4,6;17202;10309;6928;71,1;28,9;0,1;715,96;1352,94;914,35;720;510
4317509;Santo Ângelo;RS;76275;94,1;5,9;48;52;2550;4,2;25734;15530;10235;29,5;70,5;0;791,44;1493,04;1000,69;800;577
4317558;Santo Antônio do Palma;RS;2139;31,8;68,2;52;48;92;5,2;655;562;93;16,8;82,9;0,3;861,94;1398,6;987,47;800;600
4317608;Santo Antônio da Patrulha;RS;39685;70,8;29,2;49,8;50,2;2851;9;13791;8090;5714;42,8;57;0,3;592,65;1026,05;789,78;700;510
4317707;Santo Antônio das Missões;RS;11210;60,6;39,4;49,8;50,2;821;9,3;3819;2346;1485;7,8;92;0,2;433,35;793,59;625,81;510;510
4317756;Santo Antônio do Planalto;RS;1987;62,1;37,9;49,3;50,7;88;5,5;694;516;178;12;88;0;559,34;1077,55;720,5;800;510
4317806;Santo Augusto;RS;13968;81,5;18,5;48,8;51,2;1010;9;4791;3189;1603;7,9;92;0,1;701,55;1388,92;825,8;670;510
4317905;Santo Cristo;RS;14378;54,1;45,9;50;50;307;2,6;4856;3583;1282;28,9;71;0,1;724,33;1332,05;804,22;800;510
4317954;Santo Expedito do Sul;RS;2461;35,4;64,6;50,3;49,7;155;7,6;821;688;133;43,5;56,4;0,1;541,43;824,81;666,4;510;510
4318002;São Borja;RS;61671;89,4;10,6;49;51;3126;6,5;19594;11762;7852;55,7;44,2;0,1;570,94;1230,8;783,97;695;510
4318051;São Domingos do Sul;RS;2926;59,7;40,3;50,2;49,8;108;4,4;947;765;182;51,5;48,5;0;831,64;1358,04;898,12;1000;510
4318101;São Francisco de Assis;RS;19254;70,1;29,9;49,3;50,7;1346;8,7;6807;4412;2403;19,3;80,3;0,4;483,82;901,13;670,24;510;510
4318200;São Francisco de Paula;RS;20537;63,3;36,7;50,7;49,3;1160;7,5;6718;4213;2516;48,9;50,5;0,6;543,53;1023,51;798,01;650;510
4318309;São Gabriel;RS;60425;89;11;48,7;51,3;3771;8;19975;12327;7860;62,4;37,2;0,3;605,36;1260,04;820,25;600;510
4318408;São Jerônimo;RS;22134;77,1;22,9;49,8;50,2;1475;8,6;7341;4572;2803;64,6;34;1,4;638,17;1268,33;927,3;750;510
4318424;São João da Urtiga;RS;4726;48,5;51,5;50,8;49,2;359;9,1;1600;1352;249;30,2;69,2;0,6;595,19;1094,9;670,87;600;510
4318432;São João do Polêsine;RS;2635;51,4;48,6;48,3;51,7;103;4,6;855;473;382;2,6;96,8;0,6;718,06;1153,83;933,12;640;510
